subject;date;session;block;trials_count;session_type;seq_type;set_num;seq_num;pos_1;pos_2;pos_2_cons;pos_2_inc;RSI;distance;trial_stage
friede;29-11;3;1;56;pdp;gram;3;1;loc_4;loc_1;;;0.1;3154.5926045693564;RT_1
friede;29-11;3;1;56;pdp;gram;3;1;loc_4;loc_1;;;0.1;35.358657968922465;RSI_2
friede;29-11;3;1;56;pdp;gram;3;1;loc_4;loc_1;;;0.1;4919.646942879634;RT_2
friede;27-01;3;1;9;pdp;gram;5;1;loc_1;loc_5;;;1.0;5137.043570228098;RSI_1
friede;27-01;3;1;9;pdp;gram;5;1;loc_1;loc_5;;;1.0;7485.871221519491;RT_1
friede;27-01;3;1;9;pdp;gram;5;1;loc_1;loc_5;;;1.0;8406.966408806715;RSI_2
friede;27-01;3;1;9;pdp;gram;5;1;loc_1;loc_5;;;1.0;2191.785506988698;RT_2
friede;14-12;2;9;50;srt;gram;5;1;loc_1;loc_5;;;1.0;5725.455051777847;RSI_1
friede;14-12;2;9;50;srt;gram;5;1;loc_1;loc_5;;;1.0;6420.0684581633195;RT_1
friede;14-12;2;9;50;srt;gram;5;1;loc_1;loc_5;;;1.0;9695.942269443727;RSI_2
friede;14-12;2;9;50;srt;gram;5;1;loc_1;loc_5;;;1.0;3137.1736222843792;RT_2
friede;13-12;1;3;33;srt;gram;5;2;loc_3;loc_6;;;1.0;4059.2764383141225;RSI_1
friede;13-12;1;3;33;srt;gram;5;2;loc_3;loc_6;;;1.0;3363.444017303837;RT_1
friede;13-12;1;3;33;srt;gram;5;2;loc_3;loc_6;;;1.0;5975.211269153988;RSI_2
friede;13-12;1;3;33;srt;gram;5;2;loc_3;loc_6;;;1.0;2075.6880682012124;RT_2
friede;25-01;2;8;31;srt;viol;5;3;loc_4;loc_6;;;1.0;3344.148214849072;RSI_1
friede;25-01;2;8;31;srt;viol;5;3;loc_4;loc_6;;;1.0;2457.30045227985;RT_1
friede;25-01;2;8;31;srt;viol;5;3;loc_4;loc_6;;;1.0;5272.634531757918;RSI_2
friede;25-01;2;8;31;srt;viol;5;3;loc_4;loc_6;;;1.0;8231.792121011667;RT_2
friede;07-12;1;4;54;srt;gram;4;2;loc_5;loc_6;;;1.0;3493.8138498666312;RSI_1
friede;07-12;1;4;54;srt;gram;4;2;loc_5;loc_6;;;1.0;1716.039874618055;RT_1
friede;07-12;1;4;54;srt;gram;4;2;loc_5;loc_6;;;1.0;2129.393427783689;RSI_2
friede;07-12;1;4;54;srt;gram;4;2;loc_5;loc_6;;;1.0;4224.7197568420015;RT_2
friede;11-12;3;5;67;pdp;inclu;4;1;loc_4;;loc_3;loc_2;1.0;2837.9541099148432;RSI_1
friede;11-12;3;5;67;pdp;inclu;4;1;loc_4;;loc_3;loc_2;1.0;30001.777709752096;RT_1
friede;11-12;3;5;67;pdp;inclu;4;1;loc_4;;loc_3;loc_2;1.0;10111.227920086385;RSI_2
friede;11-12;3;5;67;pdp;inclu;4;1;loc_4;;loc_3;loc_2;1.0;7803.0441383905745;RT_2
friede;11-12;3;5;31;pdp;inclu;4;2;loc_5;;loc_6;loc_3;1.0;1491.618845190101;RSI_1
friede;11-12;3;5;31;pdp;inclu;4;2;loc_5;;loc_6;loc_3;1.0;809.3048406846096;RT_1
friede;11-12;3;5;31;pdp;inclu;4;2;loc_5;;loc_6;loc_3;1.0;4884.279250914578;RSI_2
friede;11-12;3;5;31;pdp;inclu;4;2;loc_5;;loc_6;loc_3;1.0;113.8417561551312;RT_2
friede;27-01;3;1;50;pdp;gram;5;2;loc_3;loc_6;;;1.0;689.7570331321431;RSI_1
friede;27-01;3;1;50;pdp;gram;5;2;loc_3;loc_6;;;1.0;3869.832591940218;RT_1
friede;27-01;3;1;50;pdp;gram;5;2;loc_3;loc_6;;;1.0;5490.210595089661;RSI_2
friede;27-01;3;1;50;pdp;gram;5;2;loc_3;loc_6;;;1.0;1796.2648819099254;RT_2
friede;22-12;3;5;76;pdp;inclu;6;2;loc_5;;loc_3;loc_1;0.1;21.461162810430064;RSI_1
friede;22-12;3;5;76;pdp;inclu;6;2;loc_5;;loc_3;loc_1;0.1;295.49543144757865;RT_1
friede;22-12;3;5;76;pdp;inclu;6;2;loc_5;;loc_3;loc_1;0.1;20.629554873920977;RSI_2
friede;22-12;3;5;76;pdp;inclu;6;2;loc_5;;loc_3;loc_1;0.1;4062.6226698724713;RT_2
friede;27-01;3;1;56;pdp;gram;5;3;loc_4;loc_2;;;1.0;6368.40683376139;RSI_1
friede;27-01;3;1;56;pdp;gram;5;3;loc_4;loc_2;;;1.0;10045.316354666735;RT_1
friede;27-01;3;1;56;pdp;gram;5;3;loc_4;loc_2;;;1.0;5854.3409705523645;RSI_2
friede;27-01;3;1;56;pdp;gram;5;3;loc_4;loc_2;;;1.0;2114.687151573879;RT_2
friede;29-11;3;1;15;pdp;gram;3;1;loc_4;loc_1;;;0.1;331.11030336510515;RSI_1
friede;29-11;3;1;15;pdp;gram;3;1;loc_4;loc_1;;;0.1;2316.8821661113393;RT_1
friede;29-11;3;1;15;pdp;gram;3;1;loc_4;loc_1;;;0.1;198.28503990857666;RSI_2
friede;29-11;3;1;15;pdp;gram;3;1;loc_4;loc_1;;;0.1;3210.61151070066;RT_2
friede;16-12;3;1;47;pdp;gram;5;2;loc_3;loc_6;;;1.0;3178.473091331519;RSI_1
friede;16-12;3;1;47;pdp;gram;5;2;loc_3;loc_6;;;1.0;7147.974582696488;RT_1
friede;16-12;3;1;47;pdp;gram;5;2;loc_3;loc_6;;;1.0;7285.173073804619;RSI_2
friede;16-12;3;1;47;pdp;gram;5;2;loc_3;loc_6;;;1.0;2470.6704044122357;RT_2
friede;19-01;2;6;10;srt;gram;4;2;loc_5;loc_6;;;1.0;2398.235119144217;RSI_1
friede;19-01;2;6;10;srt;gram;4;2;loc_5;loc_6;;;1.0;1661.1063949150864;RT_1
friede;19-01;2;6;10;srt;gram;4;2;loc_5;loc_6;;;1.0;3944.56335832572;RSI_2
friede;19-01;2;6;10;srt;gram;4;2;loc_5;loc_6;;;1.0;7905.137969802762;RT_2
friede;13-12;1;4;47;srt;gram;5;2;loc_3;loc_6;;;1.0;2960.478362051938;RSI_1
friede;13-12;1;4;47;srt;gram;5;2;loc_3;loc_6;;;1.0;3165.2295134260444;RT_1
friede;13-12;1;4;47;srt;gram;5;2;loc_3;loc_6;;;1.0;3928.678216265284;RSI_2
friede;13-12;1;4;47;srt;gram;5;2;loc_3;loc_6;;;1.0;0.0;RT_2
friede;19-01;2;6;9;srt;gram;4;1;loc_4;loc_3;;;1.0;3618.5786293899414;RSI_1
friede;19-01;2;6;9;srt;gram;4;1;loc_4;loc_3;;;1.0;4648.585998975117;RT_1
friede;19-01;2;6;9;srt;gram;4;1;loc_4;loc_3;;;1.0;6936.279594979718;RSI_2
friede;19-01;2;6;9;srt;gram;4;1;loc_4;loc_3;;;1.0;4757.945453105595;RT_2
friede;02-12;3;5;78;pdp;inclu;3;2;loc_6;;loc_3;loc_1;0.1;102.84773885786679;RSI_1
friede;02-12;3;5;78;pdp;inclu;3;2;loc_6;;loc_3;loc_1;0.1;3012.3185795016584;RT_1
friede;02-12;3;5;78;pdp;inclu;3;2;loc_6;;loc_3;loc_1;0.1;603.2868530053429;RSI_2
friede;02-12;3;5;78;pdp;inclu;3;2;loc_6;;loc_3;loc_1;0.1;6600.207046416709;RT_2
friede;08-12;2;7;16;srt;gram;4;1;loc_4;loc_3;;;1.0;6926.8783747237685;RSI_1
friede;08-12;2;7;16;srt;gram;4;1;loc_4;loc_3;;;1.0;2270.0552760357637;RT_1
friede;08-12;2;7;16;srt;gram;4;1;loc_4;loc_3;;;1.0;10191.268860120383;RSI_2
friede;08-12;2;7;16;srt;gram;4;1;loc_4;loc_3;;;1.0;306.9105915714425;RT_2
friede;25-01;2;9;54;srt;gram;5;2;loc_3;loc_6;;;1.0;7190.012029005594;RSI_1
friede;25-01;2;9;54;srt;gram;5;2;loc_3;loc_6;;;1.0;11263.305897425813;RT_1
friede;25-01;2;9;54;srt;gram;5;2;loc_3;loc_6;;;1.0;3464.9746130347635;RSI_2
friede;25-01;2;9;54;srt;gram;5;2;loc_3;loc_6;;;1.0;147.10376732310877;RT_2
friede;22-12;3;5;88;pdp;inclu;6;2;loc_5;;loc_3;loc_1;0.1;46.10907329446945;RSI_1
friede;22-12;3;5;88;pdp;inclu;6;2;loc_5;;loc_3;loc_1;0.1;1194.6949751933723;RT_1
friede;22-12;3;5;88;pdp;inclu;6;2;loc_5;;loc_3;loc_1;0.1;357.41353065647826;RSI_2
friede;22-12;3;5;88;pdp;inclu;6;2;loc_5;;loc_3;loc_1;0.1;5317.97774440103;RT_2
friede;18-01;1;4;46;srt;gram;4;1;loc_4;loc_3;;;1.0;2475.700866247735;RSI_1
friede;18-01;1;4;46;srt;gram;4;1;loc_4;loc_3;;;1.0;5856.401517101997;RT_1
friede;18-01;1;4;46;srt;gram;4;1;loc_4;loc_3;;;1.0;9514.078947702319;RSI_2
friede;18-01;1;4;46;srt;gram;4;1;loc_4;loc_3;;;1.0;379.9586148694059;RT_2
friede;28-11;2;6;4;srt;gram;3;2;loc_6;loc_3;;;0.1;207.2725866481324;RSI_1
friede;28-11;2;6;4;srt;gram;3;2;loc_6;loc_3;;;0.1;1812.2624446043553;RT_1
friede;28-11;2;6;4;srt;gram;3;2;loc_6;loc_3;;;0.1;380.82420939422144;RSI_2
friede;28-11;2;6;4;srt;gram;3;2;loc_6;loc_3;;;0.1;2160.2785397680104;RT_2
friede;21-01;3;1;15;pdp;gram;4;3;loc_1;loc_2;;;1.0;3790.9715801342777;RSI_1
friede;21-01;3;1;15;pdp;gram;4;3;loc_1;loc_2;;;1.0;2909.824142199237;RT_1
friede;21-01;3;1;15;pdp;gram;4;3;loc_1;loc_2;;;1.0;10321.141566165155;RSI_2
friede;21-01;3;1;15;pdp;gram;4;3;loc_1;loc_2;;;1.0;2745.9399649322636;RT_2
friede;13-12;1;1;4;srt;gram;5;1;loc_1;loc_5;;;1.0;3775.1164428097145;RSI_1
friede;13-12;1;1;4;srt;gram;5;1;loc_1;loc_5;;;1.0;8047.544469648342;RT_1
friede;13-12;1;1;4;srt;gram;5;1;loc_1;loc_5;;;1.0;9520.583124392893;RSI_2
friede;13-12;1;1;4;srt;gram;5;1;loc_1;loc_5;;;1.0;4.3284265871920375;RT_2
friede;21-01;3;5;45;pdp;exclu;4;1;loc_4;;loc_3;loc_6;1.0;6619.905164797443;RSI_1
friede;21-01;3;5;45;pdp;exclu;4;1;loc_4;;loc_3;loc_6;1.0;4609.132481826764;RT_1
friede;21-01;3;5;45;pdp;exclu;4;1;loc_4;;loc_3;loc_6;1.0;7865.7449515145445;RSI_2
friede;21-01;3;5;45;pdp;exclu;4;1;loc_4;;loc_3;loc_6;1.0;196.45330927601648;RT_2
friede;25-01;2;6;5;srt;gram;5;1;loc_1;loc_5;;;1.0;5192.096368411554;RSI_1
friede;25-01;2;6;5;srt;gram;5;1;loc_1;loc_5;;;1.0;3422.6891237112386;RT_1
friede;25-01;2;6;5;srt;gram;5;1;loc_1;loc_5;;;1.0;9845.53858567557;RSI_2
friede;25-01;2;6;5;srt;gram;5;1;loc_1;loc_5;;;1.0;3734.763470847878;RT_2
friede;28-11;2;7;20;srt;gram;3;3;loc_2;loc_5;;;0.1;390.5041093278101;RSI_1
friede;28-11;2;7;20;srt;gram;3;3;loc_2;loc_5;;;0.1;1052.8640798739143;RT_1
friede;28-11;2;7;20;srt;gram;3;3;loc_2;loc_5;;;0.1;152.38805279707432;RSI_2
friede;28-11;2;7;20;srt;gram;3;3;loc_2;loc_5;;;0.1;820.5335002510709;RT_2
friede;02-02;2;8;32;srt;viol;6;3;loc_6;loc_3;;;0.1;30.501442079188386;RSI_1
friede;02-02;2;8;32;srt;viol;6;3;loc_6;loc_3;;;0.1;1995.9811202166734;RT_1
